Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
99,400,240,0.6,16,1744,0.6,0.4,25,46.42
100,410,184.5,0.45,16.4,1789.5,0.6,0.4,25,45.48
101,410,205,0.5,16.4,1769,0.6,0.4,25,50.43
102,410,225.5,0.55,16.4,1748.5,0.6,0.4,25,45.02
103,410,246,0.6,16.4,1728,0.6,0.4,25,46.5
104,420,189,0.45,16.8,1775,0.6,0.4,25,46.08
105,420,210,0.5,16.8,1754,0.6,0.4,25,51.22
106,420,231,0.55,16.8,1733,0.6,0.4,25,44.67
107,420,252,0.6,16.8,1712,0.6,0.4,25,46.57
108,430,193.5,0.45,17.2,1760.5,0.6,0.4,25,46.01
109,430,215,0.5,17.2,1739,0.6,0.4,25,51.04
110,430,236.5,0.55,17.2,1717.5,0.6,0.4,25,43.71
111,430,258,0.6,17.2,1696,0.6,0.4,25,46.27
112,440,198,0.45,17.6,1746,0.6,0.4,25,45.96
113,440,220,0.5,17.6,1724,0.6,0.4,25,50.89
114,440,242,0.55,17.6,1702,0.6,0.4,25,42.91
115,440,264,0.6,17.6,1680,0.6,0.4,25,46.01
116,450,202.5,0.45,18,1731.5,0.6,0.4,25,45.88
117,450,225,0.5,18,1709,0.6,0.4,25,50.69
118,450,247.5,0.55,18,1686.5,0.6,0.4,25,41.85
119,450,270,0.6,18,1664,0.6,0.4,25,45.68
120,360,162,0.45,14.4,1862,0.6,0.4,60,55.57
121,360,180,0.5,14.4,1844,0.6,0.4,60,57.37
122,360,198,0.55,14.4,1826,0.6,0.4,60,53.39
123,360,216,0.6,14.4,1808,0.6,0.4,60,51.22
124,370,166.5,0.45,14.8,1847.5,0.6,0.4,60,56.11
125,370,185,0.5,14.8,1829,0.6,0.4,60,58.2
126,370,203.5,0.55,14.8,1810.5,0.6,0.4,60,54.32
127,370,222,0.6,14.8,1792,0.6,0.4,60,52.13
128,380,171,0.45,15.2,1833,0.6,0.4,60,56.66
129,380,190,0.5,15.2,1814,0.6,0.4,60,59.03
130,380,209,0.55,15.2,1795,0.6,0.4,60,55.26
131,380,228,0.6,15.2,1776,0.6,0.4,60,53.05
132,390,175.5,0.45,15.6,1818.5,0.6,0.4,60,57.2
133,390,195,0.5,15.6,1799,0.6,0.4,60,59.86
134,390,214.5,0.55,15.6,1779.5,0.6,0.4,60,56.19
135,390,234,0.6,15.6,1760,0.6,0.4,60,53.96
136,400,180,0.45,16,1804,0.6,0.4,60,57.75
137,400,200,0.5,16,1784,0.6,0.4,60,60.68
138,400,220,0.55,16,1764,0.6,0.4,60,57.12
139,400,240,0.6,16,1744,0.6,0.4,60,54.87
140,410,184.5,0.45,16.4,1789.5,0.6,0.4,60,58.29
141,410,205,0.5,16.4,1769,0.6,0.4,60,61.51
142,410,225.5,0.55,16.4,1748.5,0.6,0.4,60,58.06
143,410,246,0.6,16.4,1728,0.6,0.4,60,55.78
144,420,189,0.45,16.8,1775,0.6,0.4,60,58.8
145,420,210,0.5,16.8,1754,0.6,0.4,60,62.29
146,420,231,0.55,16.8,1733,0.6,0.4,60,58.93
147,420,252,0.6,16.8,1712,0.6,0.4,60,56.64
148,430,193.5,0.45,17.2,1760.5,0.6,0.4,60,58.03
149,430,215,0.5,17.2,1739,0.6,0.4,60,61.95
150,430,236.5,0.55,17.2,1717.5,0.6,0.4,60,57.37
151,430,258,0.6,17.2,1696,0.6,0.4,60,54.31
152,440,198,0.45,17.6,1746,0.6,0.4,60,57.27
153,440,220,0.5,17.6,1724,0.6,0.4,60,61.61
154,440,242,0.55,17.6,1702,0.6,0.4,60,55.82
155,440,264,0.6,17.6,1680,0.6,0.4,60,51.98
156,450,202.5,0.45,18,1731.5,0.6,0.4,60,56.56
157,450,225,0.5,18,1709,0.6,0.4,60,61.3
158,450,247.5,0.55,18,1686.5,0.6,0.4,60,54.38
159,450,270,0.6,18,1664,0.6,0.4,60,49.83
160,360,162,0.45,14.4,1862,0.7,0.3,25,33.83
161,360,180,0.5,14.4,1844,0.7,0.3,25,36.19
162,360,198,0.55,14.4,1826,0.7,0.3,25,31.11
163,360,216,0.6,14.4,1808,0.7,0.3,25,25.71
164,370,166.5,0.45,14.8,1847.5,0.7,0.3,25,34.31
165,370,185,0.5,14.8,1829,0.7,0.3,25,36.52
166,370,203.5,0.55,14.8,1810.5,0.7,0.3,25,30.27
167,370,222,0.6,14.8,1792,0.7,0.3,25,25.6
